Pair,Signal,Approach,RSI (Buy/Sell),EMA (Short/Long),MACD (Short/Long/Signal),Risk/Reward,Final Equity,Return (%),Max Drawdown (%),Profit Factor,Sharpe Ratio,Win Rate (%),Total Trades,Avg Trade Duration,Equity Curve Image
GBPUSD,Sell,Filter,65/45,13/31,14/28/11,1:1,1047.802360814002,4.780236081400199,-8.214945568109922,1.6666342130768972,0.2857359221345444,66.66666666666666,3,1 days,plots/GBPUSD\GBPUSD_Sell_Filter_RSI_65_45_EMA_13_31_MACD_14_28_11_RR_1_1.png
GBPUSD,Sell,Filter,70/50,15/35,15/30/12,1:1,1000.0,0.0,-0.0,,,,0,,plots/GBPUSD\GBPUSD_Sell_Filter_RSI_70_50_EMA_15_35_MACD_15_30_12_RR_1_1.png
GBPUSD,Sell,Filter,58/38,9/26,12/25/9,1:1,1363.5939584940056,36.35939584940056,-17.2884490932957,2.4594186920929513,0.7071401746376005,72.72727272727273,22,6 days,plots/GBPUSD\GBPUSD_Sell_Filter_RSI_58_38_EMA_9_26_MACD_12_25_9_RR_1_1.png
GBPUSD,Sell,Filter,63/43,12/30,13/27/10,1:1,1022.3562005100031,2.235620051000308,-9.24725444120006,1.2141732172636928,0.12609972301059263,60.0,5,4 days,plots/GBPUSD\GBPUSD_Sell_Filter_RSI_63_43_EMA_12_30_MACD_13_27_10_RR_1_1.png
GBPUSD,Sell,Filter,68/48,14/34,14/28/11,1:1,1075.9602775360022,7.596027753600219,-2.062660246399861,,0.6800428020751387,100.0,1,1 days,plots/GBPUSD\GBPUSD_Sell_Filter_RSI_68_48_EMA_14_34_MACD_14_28_11_RR_1_1.png
GBPUSD,Sell,WithoutFilter,N/A,N/A,N/A,1:1,1252.228591305026,25.222859130502595,-49.159460787518704,1.275534050113436,0.2766124246656107,59.42028985507246,69,4 days,plots/GBPUSD\GBPUSD_Sell_WithoutFilter_RR_1_1.png
AUDUSD,Buy,Filter,60/40,10/30,12/26/9,1:1,861.1100268500002,-13.888997314999985,-36.6490600009361,0.6588362055865742,0.0,40.0,5,6 days,plots/AUDUSD\AUDUSD_Buy_Filter_RSI_60_40_EMA_10_30_MACD_12_26_9_RR_1_1.png
AUDUSD,Buy,Filter,65/40,12/28,13/25/9,1:1,653.7411424420011,-34.62588575579989,-49.885952252028765,0.48339663710721215,0.0,33.33333333333333,9,6 days,plots/AUDUSD\AUDUSD_Buy_Filter_RSI_65_40_EMA_12_28_MACD_13_25_9_RR_1_1.png
AUDUSD,Buy,Filter,70/45,14/32,14/24/10,1:1,587.4500374620005,-41.254996253799945,-54.99502960545014,0.49102205459286097,0.0,33.33333333333333,12,7 days,plots/AUDUSD\AUDUSD_Buy_Filter_RSI_70_45_EMA_14_32_MACD_14_24_10_RR_1_1.png
AUDUSD,Buy,Filter,55/35,8/25,11/24/8,1:1,798.7789721430008,-20.122102785699916,-31.66338892123458,0.37288955474110647,0.0,25.0,4,9 days,plots/AUDUSD\AUDUSD_Buy_Filter_RSI_55_35_EMA_8_25_MACD_11_24_8_RR_1_1.png
AUDUSD,Buy,Filter,60/40,11/29,12/27/10,1:1,861.1100268500002,-13.888997314999985,-36.6490600009361,0.6588362055865742,0.0,40.0,5,6 days,plots/AUDUSD\AUDUSD_Buy_Filter_RSI_60_40_EMA_11_29_MACD_12_27_10_RR_1_1.png
AUDUSD,Buy,Filter,65/45,13/31,14/28/11,1:1,730.5073661210009,-26.949263387899908,-48.42841766884993,0.6507311314313571,0.0,40.0,10,9 days,plots/AUDUSD\AUDUSD_Buy_Filter_RSI_65_45_EMA_13_31_MACD_14_28_11_RR_1_1.png
AUDUSD,Buy,Filter,70/50,15/35,15/30/12,1:1,851.632760822999,-14.836723917700102,-33.71512690209592,0.84746274400718,0.0,45.45454545454545,11,10 days,plots/AUDUSD\AUDUSD_Buy_Filter_RSI_70_50_EMA_15_35_MACD_15_30_12_RR_1_1.png
AUDUSD,Buy,Filter,58/38,9/26,12/25/9,1:1,782.4105812339994,-21.75894187660006,-32.88753873143325,0.36489907845680436,0.0,25.0,4,5 days,plots/AUDUSD\AUDUSD_Buy_Filter_RSI_58_38_EMA_9_26_MACD_12_25_9_RR_1_1.png
AUDUSD,Buy,Filter,63/43,12/30,13/27/10,1:1,760.0136976219998,-23.998630237800022,-44.085843841658935,0.4903864955710503,0.0,33.33333333333333,6,5 days,plots/AUDUSD\AUDUSD_Buy_Filter_RSI_63_43_EMA_12_30_MACD_13_27_10_RR_1_1.png
AUDUSD,Buy,Filter,68/48,14/34,14/28/11,1:1,835.7020638160005,-16.429793618399945,-33.63589809000002,0.8203585823366286,0.0,45.45454545454545,11,10 days,plots/AUDUSD\AUDUSD_Buy_Filter_RSI_68_48_EMA_14_34_MACD_14_28_11_RR_1_1.png
AUDUSD,Buy,WithoutFilter,N/A,N/A,N/A,1:1,772.7189851840049,-22.728101481599513,-41.31836109644754,0.8912571522586897,0.0,44.44444444444444,36,8 days,plots/AUDUSD\AUDUSD_Buy_WithoutFilter_RR_1_1.png
AUDUSD,Sell,Filter,60/40,10/30,12/26/9,1:1,1212.934670508002,21.2934670508002,-19.263442266903574,2.7048280968931415,0.6841785006801236,75.0,4,6 days,plots/AUDUSD\AUDUSD_Sell_Filter_RSI_60_40_EMA_10_30_MACD_12_26_9_RR_1_1.png
AUDUSD,Sell,Filter,65/40,12/28,13/25/9,1:1,1212.934670508002,21.2934670508002,-19.263442266903574,2.7048280968931415,0.6841785006801236,75.0,4,6 days,plots/AUDUSD\AUDUSD_Sell_Filter_RSI_65_40_EMA_12_28_MACD_13_25_9_RR_1_1.png
