run_id,adj_takeprofit,WIN/LOSS-Diff_4,WIN/LOSS-Diff_5,overall_precision,BreakEvenRatio,no_of_trades,false_positives,true_positives,early_stopping_triggered,precision,overall_trades,--dataset_name,--class_weight_0,--class_weight_1,--max_features,--n_components,--n_estimators,--random_state,--stop_loss,--take_profit,--threshold,precision_split_1,precision_split_2,precision_split_3,precision_split_4,precision_split_5
HD_22f559a6-02d0-43f1-8795-d42599179d43_417,,8.53,,0.5533980582524272,0.3333333333333333,"[44, 47, 58, 43, 14]","[14, 17, 25, 25, 11]","[30, 30, 33, 18, 3]",True,0.21428571428571427,206,EURUSD_D1_2010to101124,20,15,log2,25,120,8,1,2,0.6,0.6818181818181818,0.6382978723404256,0.5689655172413793,0.4186046511627907,0.21428571428571427
HD_22f559a6-02d0-43f1-8795-d42599179d43_385,,8.39,,0.6009564293304994,0.5,"[651, 475, 363, 274, 119]","[238, 191, 145, 114, 63]","[413, 284, 218, 160, 56]",True,0.47058823529411764,1882,EURUSD_D1_2010to101124,10,20,log2,10,120,8,1,1,0.56,0.6344086021505376,0.5978947368421053,0.6005509641873278,0.583941605839416,0.47058823529411764
HD_22f559a6-02d0-43f1-8795-d42599179d43_572,,8.37,,0.615553121577218,0.5,"[621, 511, 359, 233, 102]","[217, 204, 129, 97, 55]","[404, 307, 230, 136, 47]",True,0.46078431372549017,1826,EURUSD_D1_2010to101124,1,10,sqrt,20,150,42,1,1,0.55,0.6505636070853462,0.6007827788649707,0.6406685236768802,0.5836909871244635,0.46078431372549017
HD_22f559a6-02d0-43f1-8795-d42599179d43_698,,8.36,,0.6243093922651933,0.5,"[590, 466, 379, 269, 106]","[197, 178, 136, 112, 57]","[393, 288, 243, 157, 49]",True,0.46226415094339623,1810,EURUSD_D1_2010to101124,6,10,sqrt,25,150,42,1,1,0.55,0.6661016949152543,0.6180257510729614,0.6411609498680739,0.5836431226765799,0.46226415094339623
HD_22f559a6-02d0-43f1-8795-d42599179d43_667,,8.33,,0.6353312302839117,0.5,"[518, 400, 323, 240, 104]","[169, 138, 117, 100, 54]","[349, 262, 206, 140, 50]",True,0.4807692307692308,1585,EURUSD_D1_2010to101124,10,15,log2,25,50,42,1,1,0.56,0.6737451737451737,0.655,0.6377708978328174,0.5833333333333334,0.4807692307692308
HD_22f559a6-02d0-43f1-8795-d42599179d43_233,,8.33,,0.47198641765704585,0.3333333333333333,"[148, 162, 129, 108, 42]","[70, 80, 65, 63, 33]","[78, 82, 64, 45, 9]",True,0.21428571428571427,589,EURUSD_D1_2010to101124,6,6,sqrt,30,100,0,1,2,0.5,0.527027027027027,0.5061728395061729,0.49612403100775193,0.4166666666666667,0.21428571428571427
HD_22f559a6-02d0-43f1-8795-d42599179d43_165,,8.33,,0.4280639431616341,0.3333333333333333,"[190, 147, 116, 72, 38]","[102, 85, 66, 42, 27]","[88, 62, 50, 30, 11]",True,0.2894736842105263,563,EURUSD_D1_2010to101124,1,20,sqrt,30,250,0,1,2,0.55,0.4631578947368421,0.4217687074829932,0.43103448275862066,0.4166666666666667,0.2894736842105263
HD_22f559a6-02d0-43f1-8795-d42599179d43_130,,8.33,,0.4444444444444444,0.25,"[5, 9, 6, 6, 1]","[3, 4, 3, 4, 1]","[2, 5, 3, 2, 0]",True,0.0,27,EURUSD_D1_2010to101124,5,15,log2,30,250,26,1,3,0.6,0.4,0.5555555555555556,0.5,0.3333333333333333,0.0
HD_22f559a6-02d0-43f1-8795-d42599179d43_84,,8.33,,0.5236593059936908,0.3333333333333333,"[71, 78, 77, 72, 19]","[25, 36, 35, 42, 13]","[46, 42, 42, 30, 6]",True,0.3157894736842105,317,EURUSD_D1_2010to101124,10,20,sqrt,30,150,26,1,2,0.55,0.647887323943662,0.5384615384615384,0.5454545454545454,0.4166666666666667,0.3157894736842105
HD_22f559a6-02d0-43f1-8795-d42599179d43_516,,8.25,,0.6204013377926422,0.5,"[563, 455, 381, 285, 110]","[191, 161, 150, 119, 60]","[372, 294, 231, 166, 50]",True,0.45454545454545453,1794,EURUSD_D1_2010to101124,20,10,log2,30,200,0,1,1,0.55,0.6607460035523979,0.6461538461538462,0.6062992125984252,0.5824561403508772,0.45454545454545453
HD_22f559a6-02d0-43f1-8795-d42599179d43_476,,8.23,0.76,0.48466257668711654,0.3333333333333333,"[154, 107, 107, 77, 44]","[70, 52, 56, 45, 29]","[84, 55, 51, 32, 15]",,,489,EURUSD_D1_2010to101124,1,15,sqrt,15,120,42,1,2,0.55,0.5454545454545454,0.514018691588785,0.4766355140186916,0.4155844155844156,0.3409090909090909
